Column1,State Code,County Code,Site Num,Address,State,County,City,Date Local,Days Since Last Obs,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
27753,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/19/2006,1,Parts per billion,13.952381,27,2,25,Parts per million,0.04125,0.044,10,37,Parts per billion,5.047619,7,20,10,Parts per million,0.4,0.6,4,
27757,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/20/2006,1,Parts per billion,9.434783,23,22,22,Parts per million,0.0415,0.053,9,45,Parts per billion,4.391304,6,2,9,Parts per million,0.365217,0.6,22,
27761,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/21/2006,1,Parts per billion,8.782609,22,4,21,Parts per million,0.033542,0.042,5,36,Parts per billion,4.217391,5,4,7,Parts per million,0.308696,0.6,4,
27765,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/22/2006,1,Parts per billion,15.608696,32,23,30,Parts per million,0.034292,0.047,9,40,Parts per billion,4.782609,7,8,10,Parts per million,0.347826,0.7,23,
27769,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/23/2006,1,Parts per billion,17.590909,33,4,31,Parts per million,0.031417,0.046,11,39,Parts per billion,4.772727,7,14,10,Parts per million,0.5,1.3,5,
27773,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/24/2006,1,Parts per billion,18.26087,31,6,29,Parts per million,0.03175,0.044,10,37,Parts per billion,4.652174,6,7,9,Parts per million,0.465217,1.4,5,
27777,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/25/2006,1,Parts per billion,10.956522,21,10,20,Parts per million,0.040167,0.048,18,41,Parts per billion,4.478261,5,0,7,Parts per million,0.313043,0.4,4,
27781,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/26/2006,1,Parts per billion,10.434783,17,15,16,Parts per million,0.04325,0.046,16,39,Parts per billion,4.043478,5,4,7,Parts per million,0.295652,0.3,0,
27785,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/27/2006,1,Parts per billion,9.913043,28,23,26,Parts per million,0.036375,0.045,3,38,Parts per billion,4.826087,6,1,9,Parts per million,0.317391,0.7,23,
27789,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/28/2006,1,Parts per billion,16.782609,41,23,39,Parts per million,0.03275,0.055,10,47,Parts per billion,4.782609,8,8,11,Parts per million,0.526087,1.3,23,
27793,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/29/2006,1,Parts per billion,18.086957,38,0,36,Parts per million,0.02925,0.049,8,42,Parts per billion,4.434783,8,7,11,Parts per million,0.530435,1.1,0,
27797,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/30/2006,1,Parts per billion,22.454545,39,7,37,Parts per million,0.023167,0.046,9,39,Parts per billion,5.090909,7,7,10,Parts per million,0.65,1.8,5,
27801,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,5/31/2006,1,Parts per billion,21.47619,39,6,37,Parts per million,0.026958,0.044,8,37,Parts per billion,4.380952,5,4,7,Parts per million,0.614286,1.8,5,
27805,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/1/2006,1,Parts per billion,10.304348,16,6,15,Parts per million,0.031,0.045,9,38,Parts per billion,4.043478,5,20,7,Parts per million,0.356522,0.4,4,
27809,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/2/2006,1,Parts per billion,21.545455,39,22,37,Parts per million,0.025583,0.046,10,39,Parts per billion,4.636364,7,7,10,Parts per million,0.645455,1.4,5,
27813,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/3/2006,1,Parts per billion,15.478261,32,2,30,Parts per million,0.036167,0.059,9,50,Parts per billion,4,4,0,6,Parts per million,0.547826,1,1,
27817,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/4/2006,1,Parts per billion,11.565217,23,7,22,Parts per million,0.038542,0.051,9,43,Parts per billion,5.521739,12,8,17,Parts per million,0.373913,0.6,6,
27821,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/5/2006,1,Parts per billion,12.227273,19,4,18,Parts per million,0.03375,0.037,17,31,Parts per billion,4.363636,5,1,7,Parts per million,0.359091,0.4,0,
27825,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/6/2006,1,Parts per billion,14.565217,23,11,22,Parts per million,0.030542,0.033,0,28,Parts per billion,4.869565,10,14,14,Parts per million,0.352174,0.5,11,
27829,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/7/2006,1,Parts per billion,14.434783,26,6,25,Parts per million,0.026792,0.029,9,25,Parts per billion,4.478261,6,6,9,Parts per million,0.317391,0.4,4,
27833,6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",California,San Diego,San Diego,6/8/2006,1,Parts per billion,16.869565,24,8,23,Parts per million,0.033792,0.044,22,37,Parts per billion,5,7,18,10,Parts per million,0.356522,0.5,5,
